# Namespace(base_learning_rate=0.1, batch_size=128, cudnn_workspace_limit_mb=64, db_type='minidb', epoch_size=49920, file_store_path='./models', gpus=None, image_size=32, load_model_path=None, num_channels=3, num_epochs=100, num_gpus=1, num_labels=10, num_shards=1, redis_host=None, redis_port=6379, run_id=None, save_model_name='mobilenet', shard_id=0, test_data='/data/cifar10/test_minidb', train_data='/data/cifar10/train_minidb', weight_decay=0.0001)
time_spent,cumulative_time_spent,input_count,cumulative_input_count,cumulative_batch_count,inputs_per_sec,accuracy,epoch,learning_rate,loss,test_accuracy
1037.96283698,81066.5888309,49920,3893760,30809,48.0942074431,1.0,78,0.0010000000475,0.000996222486719,0.887734375
1037.89693403,82104.485765,49920,3943680,31199,48.0972612628,1.0,79,0.0010000000475,0.0015833999496,0.8878125
1026.61720419,83131.1029708,49920,3993600,31589,48.6257193005,1.0,80,0.0010000000475,0.000669521337841,0.891171875
1027.46077704,84158.5637491,49920,4043520,31979,48.5857962808,1.0,81,0.0010000000475,0.00145446765237,0.88828125
1027.5259459,85186.089695,49920,4093440,32369,48.5827148201,1.0,82,0.0010000000475,0.000702369608916,0.88609375
1027.74183702,86213.8315339,49920,4143360,32759,48.5725093614,1.0,83,0.0010000000475,0.000963039055932,0.89109375
1027.41611505,87241.2476499,49920,4193280,33149,48.5879083158,1.0,84,0.0010000000475,0.00096124765696,0.889296875
1027.308671,88268.5563209,49920,4243200,33539,48.5929900227,1.0,85,0.0010000000475,0.000537208863534,0.890078125
1027.26708412,89295.823405,49920,4293120,33929,48.5949572138,1.0,86,0.0010000000475,0.000523473951034,0.889453125
1027.30702806,90323.130434,49920,4343040,34319,48.593067736,1.0,87,0.0010000000475,0.00046306263539,0.889375
1027.73275208,91350.8631871,49920,4392960,34709,48.5729387321,1.0,88,0.0010000000475,0.000747461337596,0.88703125
1028.85317087,92379.7163589,49920,4442880,35099,48.5200429112,1.0,89,0.00010000000475,0.00118732731789,0.886015625
1028.54379201,93408.2601509,49920,4492800,35489,48.5346374047,1.0,90,0.00010000000475,0.000525777810253,0.88953125
1027.87346601,94436.1336179,49920,4542720,35879,48.5662891888,1.0,91,0.00010000000475,0.000695648661349,0.888984375
1027.630723,95463.7643421,49920,4592640,36269,48.5777613327,1.0,92,0.00010000000475,0.000755656277761,0.886484375
1027.93112183,96491.6954648,49920,4642560,36659,48.5635651456,1.0,93,0.00010000000475,0.000603399646934,0.888828125
1027.76550889,97519.460974,49920,4692480,37049,48.5713906219,1.0,94,0.00010000000475,0.000647653941996,0.889921875
1015.25712705,98534.7181029,49920,4742400,37439,49.1698099625,1.0,95,0.00010000000475,0.000674106006045,0.8890625
1027.68919516,99562.407299,49920,4792320,37829,48.5749974168,1.0,96,0.00010000000475,0.000960253935773,0.888984375
1027.46541691,100589.872717,49920,4842240,38219,48.5855768754,1.0,97,0.00010000000475,0.00100757216569,0.889296875
1027.63910007,101617.511817,49920,4892160,38609,48.5773653381,1.0,98,0.00010000000475,0.000711920321919,0.8903125
1028.39820004,102645.910017,49920,4942080,38999,48.5415085307,1.0,99,0.00010000000475,0.000903598032892,0.886171875
